date,Sunbasket,Plated,Marley Spoon,Home Chef,Green Chef,Hello Fresh,Blue Apron
31/01/2015,0,13.1,0,0.3,0.4,19,67.2
28/02/2015,0,13.2,0,0.8,0.9,17.4,67.7
31/03/2015,0,11.6,0,1.3,1.3,17.5,68.2
30/04/2015,0,12,0,1.5,1.4,21.5,63.5
31/05/2015,0.2,11.1,0,1.9,1.3,21.4,64.1
30/06/2015,0.3,8.2,0,1.7,1,18.1,70.6
31/07/2015,0.5,7.2,0,2.3,1,21.5,67.5
31/08/2015,0.6,6.8,0.1,2.3,1.6,18.8,69.8
30/09/2015,0.6,6.4,0.1,2.5,1.3,19.9,69.3
31/10/2015,0.8,5.7,0.1,2.7,1.5,21.4,67.8
30/11/2015,1.3,6,0.1,3.5,1.7,17.4,70.1
31/12/2015,1.1,6.3,0.1,2.6,1.7,20.5,67.7
31/01/2016,1.1,6.3,0.1,2.8,1.4,23.5,64.8
29/02/2016,1.3,6.7,0.1,3.2,1.7,20.8,66.1
31/03/2016,1.5,6.4,0.3,3.4,2.3,22.5,63.6
30/04/2016,1.7,5.6,0.3,4.9,2.3,22.9,62.2
31/05/2016,1.9,5.6,0.3,5.9,2.5,20.4,63.4
30/06/2016,2.7,5.6,0.4,6.1,2.9,22.6,59.8
31/07/2016,3.1,5.2,0.7,7.1,3,20.5,60.4
31/08/2016,2.8,4.9,0.9,8.8,3,20.8,58.8
30/09/2016,3.5,4.8,1,8.5,4.1,21.7,56.5
31/10/2016,3.5,5.5,0.9,10.1,4,20.5,55.5
30/11/2016,4,5.2,1,9.6,4.3,21.2,54.7
31/12/2016,5.6,5.4,1.1,10.2,3.9,21.9,51.9
31/01/2017,5.3,5.9,1.1,11.2,4,21.5,51
28/02/2017,5.5,5.9,0.9,11.5,4.2,24.6,47.5
31/03/2017,6.7,5.7,0.9,11.6,4.2,26,45.1
30/04/2017,6.9,5.8,1,11.5,3.8,26.8,44.2
31/05/2017,6.5,5.6,0.8,11.9,3.4,26.7,45
30/06/2017,8.6,5.3,1,11.5,3.4,29,41.2
31/07/2017,7.6,5.5,1.2,11.6,3.1,26.2,44.8
31/08/2017,8.7,5.4,1.2,10.8,3.1,28.2,42.6
30/09/2017,9,5.6,1.3,10.8,3.1,30.6,39.6
31/10/2017,7.8,5.9,1.2,12,3,30.7,39.5
30/11/2017,8.8,6.3,1.3,10.7,3.5,34.2,35.3
31/12/2017,9.6,6.7,1,12.3,2.8,31.4,36.1
31/01/2018,9.1,6.3,1.1,12.4,3.1,32.7,35.4
28/02/2018,9.8,6.5,1.1,12.9,2.9,33,33.8
31/03/2018,9.5,7.2,1.1,14.3,2.6,33.8,31.5
30/04/2018,9.3,7.4,1,15.3,2.6,32,32.5
31/05/2018,11.3,7.7,1,13.4,3,32.5,31.1
30/06/2018,9.9,8,1.1,15,2.5,31.9,31.6
31/07/2018,9.9,7.8,1.1,15.3,3.2,29.7,33
31/08/2018,13.2,7.5,1.3,14.5,3.7,31,28.7